台文漢字諺語（台羅 | 白話字）
一兼二顧，摸蜊仔兼洗褲（It kiam jī kòo, bong lâ-á kiam sé khòo | It kiam jī kò͘, bong lâ-á kiam sé khò͘）
人情留一線，日後好相看（jîn-tsîng lâu tsi̍t suànn, ji̍t-āu hó sio-khuànn | jîn-chêng lâu chi̍t sòaⁿ, ji̍t-āu hó sio-khòaⁿ）
人生親像走馬燈（jîn-sing tshin-tshiūnn tsáu-bé-ting | jîn-seng chhin-chhiūⁿ cháu-bé-teng）
日頭赤焱焱，隨人顧性命（ji̍t-thâu tshiah-iānn-iānn, suî lâng kòo sìnn-miā | ji̍t-thâu chhiah-iāⁿ-iāⁿ, sûi lâng kò͘ sìⁿ-miā）
熱天賺，寒天食（jua̍h-thinn thàn, kuânn-thinn tsia̍h | joa̍h-thiⁿ thàn, kôaⁿ-thiⁿ chia̍h）
予天公借膽（kā Thinn-kong tsioh tánn | kā Thiⁿ-kong chioh táⁿ）
甘蔗無雙頭甜（kam-tsià bô siang-thâu tinn | kam-chià bô siang-thâu tiⁿ）
仝款無仝款師父（kāng-khuán bô kāng-khuán sai-hū | kāng-khoán bô kāng-khoán sai-hū）
九月颱，無人知（káu gue̍h thai, bô lâng tsai | káu goe̍h thai, bô lâng chai）
去蘇州賣鴨蛋（khì Soo-tsiu bē ah-nn̄g | khì So͘-chiu bē ah-nn̄g）
欠錢怨債主，不孝怨父母（khiàm-tsînn uàn tsè-tsú, put-hàu uàn pē-bú | khiàm-chîⁿ oàn chè-chú, put-hàu oàn pē-bú）
乞食趕廟公（khit-tsia̍h kuánn biō-kong | khit-chia̍h kóaⁿ biō-kong）
乞食身皇帝喙（khit-tsia̍h sin, hông-tè tshuì | khit-chia̍h sin, hông-tè chhùi）
乞食身皇帝命（khit-tsia̍h sin, hông-tè miā | khit-chia̍h sin, hông-tè miā）
鯤鯓王爺上蓋靈（Khun-sin ông-iâ siōng kài lîng | Khun-sin ông-iâ siōng kài lêng）
驚某大丈夫，拍某豬狗牛（kiann bóo tāi-tiōng-hu, phah bóo ti káu gû | kiaⁿ bó͘ tāi-tiōng-hu, phah bó͘ ti káu gû）
見笑轉受氣（kiàn-siàu tńg siū-khì | kiàn-siàu tńg siū-khì）
各人造業，各人擔（kok-lâng tsō-giap, kok-lâng-tann | kok-lâng chō-giap, kok-lâng-taⁿ）
講一个影，生一个囝（kóng tsi̍t ê iánn, senn tsi̍t ê kiánn | kóng chi̍t ê iáⁿ, seⁿ chi̍t ê kiáⁿ）
公親變事主（kong-tshin piàn sū-tsú | kong-chhin piàn sū-chú）
龜笑鱉無尾（ku tshiò pih bô bué | ku chhiò pih bô bóe）
龜山若崁頭，大雨隨時到（Ku-suann nā khàm thâu, tuā-hōo suî-sî kàu | Ku-soaⁿ nā khàm thâu, tōa-hō͘ sûi-sî kàu）
內神通外鬼（lāi sîn thong guā kuí | lāi sîn thong gōa kúi）
人未到，聲先到（lâng buē kàu, siann sing kàu | lâng bōe kàu, siaⁿ seng kàu）
人濟話就濟（lâng tsuē uē tio̍h tsuē | lâng chōe ōe tio̍h chōe）
人閒百日生病（lâng îng pah ji̍t senn pēnn | lâng êng pah ji̍t seⁿ pēⁿ）
人若衰，種匏仔生菜瓜（lâng nā sue, tsìng pû-á senn tshài-kue | lâng nā soe, chèng pû-á seⁿ chhài-koe）
人咧做、天咧看（lâng teh tsò, thinn teh khuànn | lâng teh chò, thiⁿ teh khòaⁿ）
人為財死，鳥為食亡（jîn uī tsâi sí, niáu uī si̍t bông | jîn ūi châi sí, niáu ūi si̍t bông）
毋知民國幾年（m̄ tsai Bîn-kok kuí nî | m̄ chai Bîn-kok kúi nî）
毋驚神，毋驚鬼（m̄ kiann sîn, m̄ kiann kuí | m̄ kiaⁿ sîn, m̄ kiaⁿ kúi）
五虎下西山（ngoó hoó hā se san | ngó͘ hó͘ hā se san）
王梨頭，西瓜尾（ông-lâi thâu, si-kue bué | ông-lâi thâu, si-koe bóe）
北港媽祖上蓋興（Pak-káng Má-tsóo siōng kài hing | Pak-káng Má-chó͘ siōng kài heng）
別人囡仔死袂了（pa̍t-lâng gín-á sí bē liáu | pa̍t-lâng gín-á sí bē liáu）
平安就是福（pîng-an tio̍h-sī hok | pêng-an tio̍h-sī hok）
歹瓜厚籽、歹人厚言語（pháinn kue kāu tsí, pháinn lâng kāu giân-gí | pháiⁿ koe kāu chí, pháiⁿ lâng kāu giân-gí）
歹竹出好筍（pháinn tik tshut hó sún | pháiⁿ tek chhut hó sún）
歹年冬，厚痟人（pháinn nî-tang, kāu siáu-lâng | pháiⁿ nî-tang, kāu siáu-lâng）
半路認老爸（puànn-lōo jīn lāu-pē | pòaⁿ-lō͘ jīn lāu-pē）
杯底毋通飼金魚（pue-té m̄-thang tshī kim-hî | poe-té m̄-thang chhī kim-hî）
三月痟媽祖（sann gue̍h siáu Má-tsóo | saⁿ goe̍h siáu Má-chó͘）
三日討海，四日曝網（sann ji̍t thó-hái, sì ji̍t pha̍k bāng | saⁿ ji̍t thó-hái, sì ji̍t pha̍k bāng）
三年一閏，好歹照輪（sann nî tsi̍t jūn, hó-pháinn tsiàu lûn | saⁿ nî chi̍t jūn, hó-pháiⁿ chiàu lûn）
細漢偷挽匏，大漢偷牽牛（sè-hàn thau bán pû, tuā-hàn thau khan gû | sè-hàn thau bán pû, tōa-hàn thau khan gû）
世間錢做人（sè-kan tsînn tsò-lâng | sè-kan chîⁿ chò-lâng）
生雞卵的無，放雞屎的有（senn ke-nn̄g–ê bô, pàng ke-sái–ê ū | seⁿ ke-nn̄g–ê bô, pàng ke-sái–ê ū）
先做予人看，才講予人聽（sing tsò hōo lâng khuànn, tsiah kóng hōo lâng thiann | seng chò hō͘ lâng khòaⁿ, chiah kóng hō͘ lâng thiaⁿ）
成也蕭何，敗也蕭何（sîng iā Siau-hô, pāi iā Siau-hô | sêng iā Siau-hô, pāi iā Siau-hô）
先顧腹肚，才顧佛祖（sing kòo pak-tóo, tsiah kòo Hu̍t-tsóo | seng kò͘ pak-tó͘, chiah kò͘ Hu̍t-chó͘）
四月痟王爺（sì gue̍h siáu Ông-iâ | sì goe̍h siáu Ông-iâ）
死道友，無死貧道（sí tō-iú, bô sí pîn-tō | sí tō-iú, bô sí pîn-tō）
西瓜倚大邊（si-kue uá tuā pîng | si-koe óa tōa pêng）
仙人打鼓有時錯，跤步踏差啥人無（sîn-sian tánn kóo iú sî tshò, kha-pōo ta̍h-tsha siánn-lâng bô | sîn-sian táⁿ kó͘ iú sî chhò, kha-pō͘ ta̍h-chha siáⁿ-lâng bô）
雙手抱孩兒，才知父母時（siang-tshiú phō hâi-jî, tsiah tsai pē-bú sî | siang-chhiú phō hâi-jî, chiah chai pē-bú sî）
少年袂曉想，食老毋成樣（siàu-liân bē-hiáu siūnn, tsia̍h-lāu m̄-tsiânn-iūnn | siàu-liân bē-hiáu siūⁿ, chia̍h-lāu m̄-chiâⁿ-iūⁿ）
痟貪鑽雞籠（siáu-tham nǹg ke-lam | siáu-tham nǹg ke-lam）
人心是肉做的（jîn sim sī bah tsò--ê | jîn sim sī bah chò--ê）
俗物無好貨（sio̍k-mi̍h bô hó huè | sio̍k-mi̍h bô hó hòe）
台南迎媽祖，無奇不有（Tâi-lâm ngiâ Má-tsóo, bû kî put iú | Tâi-lâm ngiâ Má-chó͘, bû kî put iú）
台灣錢，淹跤目（Tâi-uân tsînn, im kha-ba̍k | Tâi-oân chîⁿ, im kha-ba̍k）
台灣走透透，龜山行袂到（Tâi-uân kiânn-thàu-thàu, Ku-suann kiânn bē kàu | Tâi-oân kiâⁿ-thàu-thàu, Ku-soaⁿ kiâⁿ bē kàu）
台灣人韭菜命（Tâi-uân lâng kú-tshài miā | Tâi-oân lâng kú-chhài miā）
第一天公，第二母舅公（tē-it Thinn-kong, tē-jī bú-kū-kong | tē-it Thiⁿ-kong, tē-jī bú-kū-kong）
聽某喙，大富貴（thiann bóo tshuì, tuā hù-kuì | thiaⁿ bó͘ chhùi, tōa hù-kùi）
天落紅雨，馬生角（thinn lo̍h âng hōo, bé senn kak | thiⁿ lo̍h âng hō͘, bé seⁿ kak）
天大、地大，母舅公上大（thinn tuā, tē tuā, bú-kū-kong siōng-tuā | thiⁿ tōa, tē tōa, bú-kū-kong siōng-tōa）
天公疼戇人（Thinn-kong thiànn gōng-lâng | Thiⁿ-kong thiàⁿ gōng-lâng）
恬恬食三碗公半（tiām-tiām tsia̍h sann uánn-kong puànn | tiām-tiām chia̍h saⁿ óaⁿ-kong pòaⁿ）
大事化小事，小事化無事（tuā-sū huà sió-sū, sió-sū huà bô-sū | tōa-sū hòa sió-sū, sió-sū hòa bô-sū）
有後台才行有好跤步（ū āu tâi tsiah kiânn ū hó kha-pōo | ū āu tâi chiah kiâⁿ ū hó kha-pō͘）
有才調做，無才調擔（ū tsâi-tiāu tsò, bô tsâi-tiāu tann | ū châi-tiāu chò, bô châi-tiāu taⁿ）
有食閣有掠（ū tsia̍h koh ū lia̍h | ū chia̍h koh ū lia̍h）
有一好，無二好（ū tsi̍t hó, bô nn̄g hó | ū chi̍t hó, bô nn̄g hó）
有合必有離（ū ha̍p pit ū lî | ū ha̍p pit ū lî）
有樣看樣，無樣家己想（ū iūnn khuànn iūnn, bô iūnn ka-kī siūnn | ū iūⁿ khòaⁿ iūⁿ, bô iūⁿ ka-kī siūⁿ）
有人放符，有人收（ū lâng pàng hû, ū lâng siu | ū lâng pàng hû, ū lâng siu）
有話當面講（ū uē tng bīn kóng | ū ōe tng bīn kóng）
有病死，無餓死（ū pēnn sí, bô gō sí | ū pēⁿ sí, bô gō sí）
有三年狀元，無三年夥計（ū sann nî tsiōng-guân, bô sann nî hué-kì | ū saⁿ nî chiōng-goân, bô saⁿ nî hóe-kì）
有山便有水，有神便有鬼（ū san pāin ū suí, ū sîn piān ū kuí | ū san pāin ū súi, ū sîn piān ū kúi）
有唐山公，無唐山媽（ū tn̂g-suann kong, bô tn̂g-suann má | ū tn̂g-soaⁿ kong, bô tn̂g-soaⁿ má）
偷挽蔥，嫁好翁（thau bán tshang, kè hó ang | thau bán chhang, kè hó ang）
偷挽菜，嫁好婿（thau bán tshài, kè hó sài | thau bán chhài, kè hó sài）
查某食年柑，一定嫁好翁（tsa-boó tsia̍h nî-kam, it-tīng kè hó-ang | cha-bó͘ chia̍h nî-kam, it-tēng kè hó-ang）
查埔食年柑，賺錢真輕鬆（tsa-poo tsia̍h nî-kam, thàn-tsînn tsin khin-sang | cha-po͘ chia̍h nî-kam, thàn-chîⁿ chin khin-sang）
嫁種蔥，食袂空（kè tsìng tshang, tsia̍h bē khang | kè chèng chhang, chia̍h bē khang）
有錢人驚死，無錢人驚無米（ū tsînn lâng kiann- sí, bô tsînn lâng kiann bô bí | ū chîⁿ lâng kiaⁿ- sí, bô chîⁿ lâng kiaⁿ bô bí）
鱉笑龜無毛（pih tshiò ku bô-moo | pih chhiò ku bô-mo͘）
食飽閒閒拍胡蠅（tsia̍h-pá îng-îng phah hôo-sîn | chia̍h-pá êng-êng phah hô͘-sîn）
較早睏、較有眠（khah tsá khùn, khah ū bîn | khah chá khùn, khah ū bîn）
食米毋知米價（tsia̍h-bí m̄-tsai bí-kè | chia̍h-bí m̄-chai bí-kè）
娶某時，生子運（tshuā-bóo sî, senn-kiánn ūn | chhōa-bó͘ sî, seⁿ-kiáⁿ ūn）
不孝的分鐵枝路頂，有孝的分鐵枝路跤（put-hàu--ê pun thih-ki-lōo-tíng, iú-hàu--ê pun thih-ki-lōo-kha | put-hàu--ê pun thih-ki-lō͘-téng, iú-hàu--ê pun thih-ki-lō͘-kha）
有錢判生，無錢判死（ū tsînn phuànn sinn, bô tsînn phuànn sí | ū chîⁿ phòaⁿ siⁿ, bô chîⁿ phòaⁿ sí）
有錢補冬，無錢補鼻空（ū tsînn póo-tang, bô tsînn póo phīnn-khang | ū chîⁿ pó͘-tang, bô chîⁿ pó͘ phīⁿ-khang）
田螺含水罔過冬（tshân-lê kâm tsuí bóng kuè tang | chhân-lê kâm chúi bóng kòe tang）
千金街，萬金巷（tshian-kim ke, bān-kim hāng | chhian-kim ke, bān-kim hāng）
食林燈，起林燈（tsia̍h Lîm-ting, khí Lîm-ting | chia̍h Lîm-teng, khí Lîm-teng）
戲若做無路，就用神仙渡（hì nā tsò bô lōo, tō iōng sîn-sian tōo | hì nā chò bô lō͘, tō iōng sîn-sian tō͘）
清明芋，穀雨薑（tshing-bîng ōo, kok-ú kiunn | chheng-bêng ō͘, kok-ú kiuⁿ）
清明田，穀雨豆（tshing-bîng tshân, kok-ú tāu | chheng-bêng chhân, kok-ú tāu）
死忠兼換帖（sí-tiong kiam uānn-thiap | sí-tiong kiam ōaⁿ-thiap）
算命若會準，草仔埔嘛會生竹筍（sǹg-miā nā-ē tsún, tsháu-á-poo mā-ē senn tik-sún | sǹg-miā nā-ē chún, chháu-á-po͘ mā-ē seⁿ tek-sún）
雞仔腸，鳥仔肚（ke-á tn̂g, tsiáu-á tōo | ke-á tn̂g, chiáu-á tō͘）
掠蛇三寸，拍蛇七寸（lia̍h tsuâ sann tshùn, phah tsuâ tshit tshùn | lia̍h chôa saⁿ chhùn, phah chôa chhit chhùn）
水清無魚，人急無智（tsuí-tshing bô hî, lâng kip bô tì | chúi-chheng bô hî, lâng kip bô tì）
有聽聲，無看影（ū thiann siann, bô khuànn iánn | ū thiaⁿ siaⁿ, bô khòaⁿ iáⁿ）
食予肥肥，隔予槌槌（tsia̍h hōo puî-puî, kik hōo thuî thuî | chia̍h hō͘ pûi-pûi, kek hō͘ thûi thûi）
猴穿衫，嘛是猴（kâu tshīng-sann, mā-sī kâu | kâu chhēng-saⁿ, mā-sī kâu）
螿蜍嚓嚓趒，蠓仔死翹翹（tsionn-tsî tshia̍k-tshia̍k-tiô, báng-á sí khiàu-khiàu | chioⁿ-chî chhia̍k-chhia̍k-tiô, báng-á sí khiàu-khiàu）
大隻雞慢啼（tuā tsiah ke bān thî | tōa chiah ke bān thî）
狗來富，貓來起大厝（káu lâi pù, niau lâi khí tuā tshù | káu lâi pù, niau lâi khí tōa chhù）
戇的嘛有一項會（gōng--ê mā ū tsi̍t hāng ē | gōng--ê mā ū chi̍t hāng ē）
愛拚才會贏（ài piànn tsiah ē iânn | ài piàⁿ chiah ē iâⁿ）
食緊挵破碗（tsia̍h-kín lòng-phuà uánn | chia̍h-kín lòng-phòa óaⁿ）
船過水無痕（tsûn kuè tsuí bô hûn | chûn kòe chúi bô hûn）
一支喙，糊瘰瘰（tsi̍t ki tshuì, hôo-luì-luì | chi̍t ki chhùi, hô͘-lùi-lùi）
一年換二十四个頭家（tsi̍t nî uānn jī-tsa̍p-sì ê thâu-ke | chi̍t nî ōaⁿ jī-cha̍p-sì ê thâu-ke）
輸人毋輸陣，輸陣歹看面（su lâng m̄ su tīn, su tīn pháinn-khuànn bīn | su lâng m̄ su tīn, su tīn pháiⁿ-khòaⁿ bīn）
賺錢有數，性命愛顧（thàn-tsînn iú sòo, sènn-miā ài kòo | thàn-chîⁿ iú sò͘, sèⁿ-miā ài kò͘）
錢了人無代（tsînn liáu lâng bô tāi | chîⁿ liáu lâng bô tāi）
賣茶講茶芳，賣花講花紅（bē tê kóng tê phang, bē hue kóng hue âng | bē tê kóng tê phang, bē hoe kóng hoe âng）
儉小錢，了大錢（kiám sió tsînn, liáu tuā tsînn | kiám sió chîⁿ, liáu tōa chîⁿ）
跋筊聽尾聲（pua̍h-kiáu thiann bué-siann | poa̍h-kiáu thiaⁿ bóe-siaⁿ）
無錢假大方（bô tsînn ké tuā-pān | bô chîⁿ ké tōa-pān）
抓龜走鱉（lia̍h ku tsáu pih | lia̍h ku cháu pih）
偷食袂曉拭喙（thau tsia̍h bē-hiáu tshit tshuì | thau chia̍h bē-hiáu chhit chhùi）
細空毋補，大空叫苦（sè khang m̄ póo, tuā khang kiò-khóo | sè khang m̄ pó͘, tōa khang kiò-khó͘）
食碗內，看碗外（tsia̍h uánn-lāi, khuànn uánn-guā | chia̍h óaⁿ-lāi, khòaⁿ óaⁿ-gōa）
春天後母面（tshun-thinn āu-bú-bīn | chhun-thiⁿ āu-bú-bīn）
有喙嫌到無瀾（ū tshuì hiâm kah bô nuā | ū chhùi hiâm kah bô nōa）
穀雨補老母（kok-ú póo lāu-bó | kok-ú pó͘ lāu-bó）
有話講甲無話（ū uē kóng kah bô uē | ū ōe kóng kah bô ōe）
三百六十行，行行出狀元（sann-pah la̍k-tsa̍p hâng, hâng-hâng tshut tsiōng-guân | saⁿ-pah la̍k-cha̍p hâng, hâng-hâng chhut chiōng-goân）
艱苦頭，快活尾（kan-khóo thâu, khuìnn-ua̍h bué | kan-khó͘ thâu, khùiⁿ-oa̍h bóe）
好事無相講，歹事才相揣（hó sū bô sio-kóng, pháinn sū tsiah sio-tshuē | hó sū bô sio-kóng, pháiⁿ sū chiah sio-chhōe）
在生無人認，死後歸大陣（tsāi sinn bô lâng jīn, sí liáu kui tuā tīn | chāi siⁿ bô lâng jīn, sí liáu kui tōa tīn）
拍斷手骨顛倒勇（phah-tn̄g tshiú-kut tian-tò ióng | phah-tn̄g chhiú-kut tian-tò ióng）
好囝毋免濟，濟子餓死爸（hó-kiánn m̄-bián tsē, tsē kiánn gō-sí pē | hó-kiáⁿ m̄-bián chē, chē kiáⁿ gō-sí pē）
一冥全頭路，天光無半步（tsi̍t mê tsuân thâu-lōo, thinn-kng bô-puànn-pōo | chi̍t mê choân thâu-lō͘, thiⁿ-kng bô-pòaⁿ-pō͘）
人若呆，看面就知（lâng ná tai, khuànn bīn to̍h tsai | lâng ná tai, khòaⁿ bīn to̍h chai）
雙跤踏雙船（siang kha ta̍h siang tsûn | siang kha ta̍h siang chûn）
錢四跤，人兩跤（tsînn sìkha, lâng nn̄g kha | chîⁿ sìkha, lâng nn̄g kha）
一丈差九尺（tsi̍t tn̄g tsha káu tshioh | chi̍t tn̄g chha káu chhioh）
一鄉一俗（tsi̍t hiong tsi̍t sio̍k | chi̍t hiong chi̍t sio̍k）
一粒米，百粒汗（tsi̍t lia̍p bí, pah lia̍p kuānn | chi̍t lia̍p bí, pah lia̍p kōaⁿ）
盡人事，順天意（tsīn jîn-sū, sūn thinn-ì | chīn jîn-sū, sūn thiⁿ-ì）
飽穗的稻仔，頭犁犁（pá-suī ê tiū-á, thâu lê-lê | pá-sūi ê tiū-á, thâu lê-lê）
嫌貨才是買貨人（hiâm huè tsiah sī bé huè lâng | hiâm hòe chiah sī bé hòe lâng）
無三不成禮（bû sam put sîng lé | bû sam put sêng lé）
歪喙雞想欲食好米（uai-tshuì ke siūnn bueh tsia̍h hó bí | oai-chhùi ke siūⁿ boeh chia̍h hó bí）
食雞起家，食粿賺家伙（tsia̍h ke khí-ke, tsia̍h kué thàn ke-hué | chia̍h ke khí-ke, chia̍h kóe thàn ke-hóe）
請你食甜粿，予你賺家伙（tshiánn li tsia̍h tinn-kué, hōo li thàn ke-hué | chhiáⁿ li chia̍h tiⁿ-kóe, hō͘ li thàn ke-hóe）
青盲貓，拄著死鳥鼠（tshenn-mê niau, tú-tio̍h sí niáu-tshí | chheⁿ-mê niau, tú-tio̍h sí niáu-chhí）
好天，著存雨來糧（hó-thinn, tio̍h tshûn ú-lâi niû | hó-thiⁿ, tio̍h chhûn ú-lâi niû）
一句話，較贏交陪一跤步（tsi̍t kù uē, khah iân kau-puê tsi̍t kha-pōo | chi̍t kù ōe, khah iân kau-pôe chi̍t kha-pō͘）
豬無肥，肥佇狗（ti bô puî, puî tī káu | ti bô pûi, pûi tī káu）
羅漢請觀音（Lô-hàn tshiánn Kuan-im | Lô-hàn chhiáⁿ Koan-im）
慢來罰三杯（bān lâi hua̍t sann pue | bān lâi hoa̍t saⁿ poe）
無彼个尻川，莫食彼个瀉藥（bô hit ê kha-tshng, mài tsia̍h hit ê sià-io̍h | bô hit ê kha-chhng, mài chia̍h hit ê sià-io̍h）
棚頂做到跤落底（pênn-tíng tsò kàu kha lo̍h-té | pêⁿ-téng chò kàu kha lo̍h-té）
講人人到，講鬼鬼到（kóng lâng lâng kàu, kóng kuí kuí kàu | kóng lâng lâng kàu, kóng kúi kúi kàu）
出門看天色，飼魚看水色（tshut-mn̂g khuànn thinn-sik, tshī hî khuànn tsuí-sik | chhut-mn̂g khòaⁿ thiⁿ-sek, chhī hî khòaⁿ chúi-sek）
你鬼我閻羅（lí kuí guá Giâm-lô | lí kúi góa Giâm-lô）
一錢、二緣、三媠、四少年（tsi̍t tsînn, jī iân, sann suí, sì siàu-liân | chi̍t chîⁿ, jī iân, saⁿ súi, sì siàu-liân）
一句話三斤六重（tsi̍t kù uē sann kin la̍k tāng | chi̍t kù ōe saⁿ kin la̍k tāng）
戇甲袂曉抓癢（gōng kah bē-hiáu jiàu-tsiūnn | gōng kah bē-hiáu jiàu-chiūⁿ）
膨風雞，無肉（phòng-hong ke, bô bah | phòng-hong ke, bô bah）
豬母牽去牛墟（ti-bó khan khì gû-hi | ti-bó khan khì gû-hi）
這溪無魚別溪釣（tsit khe bô hî pa̍t khe tiò | chit khe bô hî pa̍t khe tiò）
三跤貓，笑一目狗（sann-kha-niau, tshiò tsi̍t-ba̍k káu | saⁿ-kha-niau, chhiò chi̍t-ba̍k káu）
魚食溪水，人食喙水（hî tsia̍h khe-tsuí, lâng tsia̍h tshuì-suí | hî chia̍h khe-chúi, lâng chia̍h chhùi-súi）
做牛著拖，做人著磨（tsò gû tio̍h thua, tsò lâng tio̍h buâ | chò gû tio̍h thoa, chò lâng tio̍h bôa）
水裡無魚，三界娘仔為大（tsuí--lí bô hî, sam-kài-niû-á uî tuā | chúi--lí bô hî, sam-kài-niû-á ûi tōa）
有戇槌仔富，無戇槌仔厝（ū gōng thuî-á hù, bô gōng thuî-á tshù | ū gōng thûi-á hù, bô gōng thûi-á chhù）
